url_length,hostname_length,path_length,query_length,digit_count,letter_count,special_character_count,dot_count,slash_count,hyphen_count,underscore_count,question_count,equal_count,ampersand_count,percent_count,subdomain_count,has_https,has_http,has_at_symbol,has_ip_address,has_query,has_fragment,has_percent_encoding,has_suspicious_double_slash,url_entropy,label
32,24,0,0,0,27,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.9292292966721747,1
24,16,0,0,0,18,6,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.9701755214643453,1
30,22,0,0,0,24,6,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4.164735178725505,1
27,19,0,0,0,22,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.060262039120378,1
34,26,0,0,0,29,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.9176264438733592,1
31,23,0,0,0,26,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.9292144551992183,1
26,18,0,0,0,21,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.796217602590056,1
26,18,0,0,0,21,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.9790978911348045,1
30,22,0,0,0,25,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.056564762130954,1
19,11,0,0,0,14,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.471354487013929,1
34,26,0,0,0,29,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.175123135113461,1
23,16,0,0,0,18,5,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.7622673906514947,0
28,20,0,0,0,23,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.896291529045928,1
21,13,0,0,2,14,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.689703732199547,1
27,19,0,0,0,22,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.134336113194452,1
25,17,0,0,0,20,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.9434651896016457,1
21,13,0,0,0,16,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.653756708287001,1
22,14,0,0,0,17,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.6978458230844122,1
22,14,0,0,0,17,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.7887549139935026,1
23,15,0,0,0,17,6,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3.5555331514269963,1
27,20,0,0,7,14,6,3,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3.930270372293455,0
24,17,0,0,0,19,5,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.8035088547976788,0
29,21,0,0,0,24,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.7623107361338706,1
30,22,0,0,0,25,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.8729055953200557,1
34,26,0,0,0,27,7,4,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3.8887896794220023,1
26,18,0,0,0,21,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.7773627950641684,1
37,29,0,0,0,32,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.100816878908576,1
38,29,1,0,0,31,7,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.14860021052734,0
33,26,0,0,2,24,7,3,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4.369707376737533,0
27,18,1,0,4,16,7,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.106377316818027,0
22,14,0,0,0,17,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.879664004902593,1
92,7,52,24,7,75,10,2,4,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,4.843090663294755,0
40,32,1,0,12,20,8,2,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4.2750705203641814,0
25,17,0,0,0,20,5,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.9736606896881845,1
35,26,1,0,2,27,6,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.343289445392767,0
